sample_id,target,period,document_index,token_index,context
attack_nn-1810-1860-01,attack_nn,1810-1860,105419,7,i be read last evening of the [attack] of agathocles upon carthage when find his inferiority of number and that he have not arm enough for his man
attack_nn-1810-1860-02,attack_nn,1810-1860,148356,10,we may form some idea of the nature of this [attack] from what the emperor say about it afterwards
attack_nn-1810-1860-03,attack_nn,1810-1860,155066,32,than the enmity of the other party <nul> de villiae at length become satisfied that he could not stand the [attack] of the press and must either silence it or retire
attack_nn-1810-1860-04,attack_nn,1810-1860,244711,1,no [attack] follow for three night and for three day and already the garrison be begin to be weary of the watch
attack_nn-1960-2010-01,attack_nn,1960-2010,30579,26,time when we shall move say faustino atem gualdit a leader of a breakaway rebel group warning of an imminent [attack] on the main faction of the sudanese people 's liberation army spla a largely non-muslim movement base in the south
attack_nn-1960-2010-02,attack_nn,1960-2010,156239,12,when rachel mott be inform she be sure it be a heart [attack] but after nasa doctor have examine him they assure her that it be mere exhaustion even genius have to rest
attack_nn-1960-2010-03,attack_nn,1960-2010,243444,24,the unlimited power of the commander in chief to take preemptive action to protect american troop from the threat of [attack] he seek to nullify the congressional power to authorize war
attack_nn-1960-2010-04,attack_nn,1960-2010,262399,9,other theory be that the horse have a heart [attack] or suffer a sudden cramp from some traumatic exhaustion
bag_nn-1810-1860-01,bag_nn,1810-1860,46381,5,i then take out the [bag] of dollar and lock them up my private drawer think to have some fun when she come home
bag_nn-1810-1860-02,bag_nn,1810-1860,55944,12,we have have enough of the ancient sham and formula the wind [bag] and sand bag the riff-raff and fagends of a past age which claim respectability still although it ought all to
bag_nn-1810-1860-03,bag_nn,1810-1860,76178,12,the basket be leave at the end of a row and both [bag] take along when one bag be as full as it can well be cram it be lay down in the
bag_nn-1810-1860-04,bag_nn,1810-1860,187658,15,long before the festivity be over my companion and myself stretch ourselves on a wide [bag] of straw and fall asleep lull by the scream of the dancer
bag_nn-1960-2010-01,bag_nn,1960-2010,27458,9,frank 's brother be dead stretch out under a [bag] of money
bag_nn-1960-2010-02,bag_nn,1960-2010,32355,13,she could collect food for x yes line her purse with that plastic [bag] she carry and slip food into it at the table but this mean that peter would have to make still
bag_nn-1960-2010-03,bag_nn,1960-2010,101762,42,of stretch for the throw take it right on the bag and maybe even on the wrong side of the [bag] to give the guy more time
bag_nn-1960-2010-04,bag_nn,1960-2010,256580,28,five six-or ten-quart container consist of a cardboard box shape to fit easily into the refrigerator inside be a plastic [bag] with a dispense nozzle
ball_nn-1810-1860-01,ball_nn,1810-1860,80892,13,charles act as le beaux suggest and fire at the distance mention the [ball] strike him high than he intend to hit him but it give him a bad wind however and bring him
ball_nn-1810-1860-02,ball_nn,1810-1860,113645,13,add some butter roll in hour and if you choose some small force-meat [ball]
ball_nn-1810-1860-03,ball_nn,1810-1860,134200,15,it be one of their maxim to sell to woman for that save advertising cotton [ball] pin needle and tape and such thing as all know the price of at half price but tuck it on
ball_nn-1810-1860-04,ball_nn,1810-1860,164710,14,such strange thing as they know how to make they know everything calico and [ball] of thread and a thousand thing more strange '
ball_nn-1960-2010-01,ball_nn,1960-2010,35029,11,neighborhood whenever you need a couple of yard you give the [ball] to furco
ball_nn-1960-2010-02,ball_nn,1960-2010,153560,2,oh luciile [ball] be in the book too but her former husband of 20 year come through as the business brain of the
ball_nn-1960-2010-03,ball_nn,1960-2010,195444,26,cup promo with accompanying u2 music we see kid kick ball and wonder why they be n't throw or shoot [ball]
ball_nn-1960-2010-04,ball_nn,1960-2010,306810,9,and chrysler and all the other be take the [ball] away from the government
bit_nn-1810-1860-01,bit_nn,1810-1860,121450,9,and a magnifying-glass abroad after flower and butterfly or [bit] of variegated flint and there another group their cheek flush with joy and their eye light with girlish hope ascending
bit_nn-1810-1860-02,bit_nn,1810-1860,128217,52,the little pile of book that be always on my table at home then the quilt the girl make of [bit] of their pretty frock be on my bed
bit_nn-1810-1860-03,bit_nn,1810-1860,220784,38,be in them and as the groom lead him by the tighten rein he struggle fiercely and champ the bright [bit] in wrath shake from his mouth gout of foam which spot his dark black hide like flake of loose snow
bit_nn-1810-1860-04,bit_nn,1810-1860,241765,6,it would have pass for a [bit] of mexican sculpture if it have be dig up in that part of the world
bit_nn-1960-2010-01,bit_nn,1960-2010,32807,0,[bit] of mucus-covered foam cling to his ear nose and mouth
bit_nn-1960-2010-02,bit_nn,1960-2010,97105,20,the bitterly cold air have find every loose stitch in caroline 's sweater and now be concentrate on the metal [bit] of brassiere that touch her skin
bit_nn-1960-2010-03,bit_nn,1960-2010,100539,4,it be of such [bit] of straw that brick be wilt and expense account save
bit_nn-1960-2010-04,bit_nn,1960-2010,142379,13,the failure of general dynamics to come forth be cause by a little [bit] of several thing say charles lea
chairman_nn-1810-1860-01,chairman_nn,1810-1860,60701,5,dr franklin be the first [chairman] of this committee
chairman_nn-1810-1860-02,chairman_nn,1810-1860,107392,20,denom- /z/ inated the president and the recording officer the secretary though sometimes these officer be designate respectively as the [chairman] and cleric
chairman_nn-1810-1860-03,chairman_nn,1810-1860,108148,13,for a moment the company cease its clamor out of respect to the [chairman] 's cough and have clear his throat with the content of a tumbler of monongahela which seem to stand permanently
chairman_nn-1810-1860-04,chairman_nn,1810-1860,125502,16,the procession move through several street to franklin hall and here when general lafayette alight the [chairman] of the selectmen address him thus -- sir the selectmen of portsmouth in behalf of their fellow citizen most respectfully
chairman_nn-1960-2010-01,chairman_nn,1960-2010,49811,31,new york company stand in the checkout line next to someone who drive a truck for him say bernard marcus [chairman] of home depot the do-it-yourself behemoth base in atlanta
chairman_nn-1960-2010-02,chairman_nn,1960-2010,72191,23,chair the joint chief until <nul> 1 2005 say buy mrap be not on the radar screen when i be [chairman]
chairman_nn-1960-2010-03,chairman_nn,1960-2010,206926,41,platoon of seal on a stealth-grade training mission q-u-i-e-t-l-y undertake at the behest of the secretary of defense and the [chairman] of the joint chief of staff
chairman_nn-1960-2010-04,chairman_nn,1960-2010,213494,25,fdic washington -- the u.s.- senate confirm the nomination of texas banker donald e. powell for a five-year term as [chairman] of the federal deposit insurance corp
circle_vb-1810-1860-01,circle_vb,1810-1860,40702,23,strength strong heart strong think think feeling run their length in a wild grandeur or they passive lay like water [circle] in a wooded bay that take from some slow cloud the quiver light throw from its snowy rift and glitter
circle_vb-1810-1860-02,circle_vb,1810-1860,57509,6,and many be the smile that [circle] the table but winthrop apprehensive of a storm interpose
circle_vb-1810-1860-03,circle_vb,1810-1860,123085,28,into four part and at one fourth make the hne a b across the column on c make the half [circle] a e b with the distance / 1 at the neck of the column and on 1 on the central
circle_vb-1810-1860-04,circle_vb,1810-1860,236859,0,[circle] mountain purple beaming lure his soul to constant dream ever dream ever scheme on and upward be his gaze
circle_vb-1960-2010-01,circle_vb,1960-2010,36916,2,91 nick [circle] back what a waste life
circle_vb-1960-2010-02,circle_vb,1960-2010,238133,15,it show the live feed from the cockpit of one of the fighter-bomber as it [circle] high above petra broadcast around the world via the global community news network
circle_vb-1960-2010-03,circle_vb,1960-2010,245412,7,otis and brady approach each other similarly [circle] in small glidingsteps each move opposite his opponent 's crooked left arm each one 's left elbow down in front
circle_vb-1960-2010-04,circle_vb,1960-2010,280127,1,you [circle] around behind the house on the hill back of it
contemplation_nn-1810-1860-01,contemplation_nn,1810-1860,106366,45,he be that the rival with whom he contend for so great a treasure equally wily and dishonourable have in [contemplation] some new villany which if not seasonably meet would result in equal loss to himself and misery to the maiden
contemplation_nn-1810-1860-02,contemplation_nn,1810-1860,137260,41,go and i have make a covenant with myself not to break out in unreasonable fruitless passion but quicken my [contemplation] whither the noble part be flee to a country afar off where no earthly power bear any sway nor can
contemplation_nn-1810-1860-03,contemplation_nn,1810-1860,169496,48,spiritual elevation where our intellectual gaze upon truth be not separable from the love and ecstacy we feel in the [contemplation] of it
contemplation_nn-1810-1860-04,contemplation_nn,1810-1860,173142,45,without an accent and in her eye there be a more decide expression of self-satisfaction and sarcasm than of holy [contemplation]
