item_id,sample_id,corpus,target,context
G2-001,1960-2010-graft_nn-341669-16,1960-2010,graft_nn,employee be describe by the investigation department as rare evidence in black and white of petty [graft] in municipal government
G2-002,1960-2010-tree_nn-267105-4,1960-2010,tree_nn,an accurate tb family [tree] might also help scientist figure out what be behind the extra virulence of certain nul tuberculosis strain
G2-003,1960-2010-graft_nn-187582-29,1960-2010,graft_nn,reject the developing embryo as a foreign body just as it would reject a thorn a virus or a tissue [graft] from another person
G2-004,1960-2010-tree_nn-35454-8,1960-2010,tree_nn,it be after all rock shard and earth [tree] stump a mulch of disintegrating leaf and splintered branch and manure
G2-005,1960-2010-graft_nn-35748-18,1960-2010,graft_nn,respect cuba s regime immediately pre castro the encyclopedia have this to say cuban politics before consist of [graft] corruption maladministration fiscal irresponsibility and social insensitivity especially toward afro cubans
G2-006,1960-2010-graft_nn-196227-9,1960-2010,graft_nn,but limb salvage techniques which involve skin and vascular [graft] placement of internal rod and muscle transfer procedures are not always successful they may take up to a dozen surgery
G2-007,1960-2010-tree_nn-217446-45,1960-2010,tree_nn,their long continental nose at poor purebred negro like myself do n't give a tinker be damn about my family [tree] and welcome me as the world downstream would not
G2-008,1960-2010-tree_nn-329323-8,1960-2010,tree_nn,weingrass hold on to the trunk of the [tree] his fingernail bleed as he dig into the bark his long black overcoat billow in the wind
G2-009,1960-2010-graft_nn-292138-11,1960-2010,graft_nn,this whole army be a mess of corruption cause by cotton [graft] cumsha and slipperoo straight
G2-010,1960-2010-tree_nn-135252-14,1960-2010,tree_nn,after that the squirrel feed almost exclusively on bark from only one species of [tree] the ponderosa pine
G2-011,1960-2010-graft_nn-227576-4,1960-2010,graft_nn,approximately percent of organ [graft] transplant from a blood relative survive and function for at least a year and around percent of cadaver kidney do
G2-012,1960-2010-tree_nn-219351-21,1960-2010,tree_nn,father the renowned banker and philanthropist have conic to this country in from frankfurt am main where the schiff family [tree] heavy with rabbinical scientific and mercantile luminary have be document back to nul i be surprise to learn after i
G2-013,1960-2010-graft_nn-236869-8,1960-2010,graft_nn,good as ever i think there be less [graft] in the police department these day but from the standpoint of a skilled professional burglar i think
G2-014,1960-2010-graft_nn-300123-10,1960-2010,graft_nn,he say they be part of a continue fight against [graft] and corruption
G2-015,1960-2010-graft_nn-155463-26,1960-2010,graft_nn,in the newspaper sometime later that he have be demote and transfer to a post where the opportunity to receive [graft] and bribe from client be slim indeed
G2-016,1960-2010-tree_nn-215680-26,1960-2010,tree_nn,view that nul afarensis be one species place it more firmly than ever at the root of the human family [tree]
G2-017,1810-1860-tree_nn-7384-8,1810-1860,tree_nn,sow it not in an orchard near fruit [tree] for it will steal and rob nul
G2-018,1960-2010-tree_nn-45486-3,1960-2010,tree_nn,on your family [tree] mark your early ancestor to demonstrate mythical property and tell his her story
G2-019,1810-1860-tree_nn-135848-6,1810-1860,tree_nn,among fancy wood the bread fruit [tree] should not be omit
G2-020,1960-2010-graft_nn-201349-44,1960-2010,graft_nn,misconception about this nation that gangster lurk on every hand make it dangerous to venture out after dark that political [graft] be rampant in every department of the government and that one must never discuss politics where there be any danger
G2-021,1960-2010-graft_nn-332291-28,1960-2010,graft_nn,of command from saigon to the province be so ponderous so complex so subject to political wheel and deal and [graft] that general and cabinet minister sometimes find it nearly impossible to get an effective response to order they do issue
G2-022,1960-2010-graft_nn-214164-10,1960-2010,graft_nn,how about elimination of largescale waste and indeed also of [graft] and corruption in city and state
G2-023,1810-1860-tree_nn-128819-31,1810-1860,tree_nn,brutal sound of bay dog and the more brutal profanity of drunken man when the leaf stand still on the [tree] and the forest lay pile up in the darkness like black cloud and the morning star be stand like a
G2-024,1960-2010-graft_nn-169329-9,1960-2010,graft_nn,the leech hirudo medicinalis in jar can help skin [graft] and reattach tissue heal
G2-025,1960-2010-graft_nn-96438-38,1960-2010,graft_nn,the commission to investigate alleged police corruption that as chief executive the mayor can not escape responsibility for the widespread [graft] find among new york s policeman by the panel
G2-026,1960-2010-tree_nn-170296-9,1960-2010,tree_nn,back home she tear out the lawn plant some [tree] and start scatter seed
G2-027,1960-2010-graft_nn-93773-12,1960-2010,graft_nn,the politician be dormant they will do nothing to clean up the [graft] vice and corruption
G2-028,1960-2010-graft_nn-196343-22,1960-2010,graft_nn,per dollar basis the federal government now probably have less waste for example than during the jackson administration and less [graft] than during the grant administration
G2-029,1960-2010-tree_nn-79382-14,1960-2010,tree_nn,by now we have learn that these aunt be not graft onto the family [tree] in any respectable way
G2-030,1810-1860-tree_nn-209304-30,1810-1860,tree_nn,then to go to pescia to die beneath the beautiful sky of tuscany amid the flower the fruit and the [tree] which he have plant and with the recollection of the mother who have watch over and mature the promise of
G2-031,1960-2010-tree_nn-254692-17,1960-2010,tree_nn,one do not fit her easily into the cardboard image of the russian woman but her family [tree] be mix and that may account for it
G2-032,1960-2010-graft_nn-9280-22,1960-2010,graft_nn,leukemia patient for example the clon cell could provide an infusion of fresh bone marrow and for the burn victim [graft] of brand new skin
G2-033,1960-2010-graft_nn-169730-28,1960-2010,graft_nn,the diffusion of responsibility for the bribery typify most aspect of the building industry and it give the system of [graft] an add resilience
G2-034,1960-2010-graft_nn-288728-27,1960-2010,graft_nn,on her abdomen for a normal skin closure so after the operation she have to have five or six skin [graft]
G2-035,1960-2010-tree_nn-339658-13,1960-2010,tree_nn,during the day that the skin be soak ipa sit under the cottonwood [tree] weaving basket from supple willow branch and reed or nolina leaf
G2-036,1960-2010-tree_nn-351297-8,1960-2010,tree_nn,oral tradition test bennett greenspan president of family [tree] dna estimate that hundreds of thousands of practice jew and people who have some jewish ancestor carry the cohanim dna
G2-037,1810-1860-tree_nn-2460-4,1810-1860,tree_nn,pdbony moutan or the [tree] peony and its variety be magnificent plant with flower of various shade of red lilac light purple and white measure
G2-038,1960-2010-graft_nn-262457-17,1960-2010,graft_nn,far student could practice more exotic procedure often not available in a typical residency eye operation skin [graft] plastic facial surgery amputation of useless limb coronary surgery nul they could also practice the actual removal of organ whether
G2-039,1960-2010-graft_nn-212120-12,1960-2010,graft_nn,paul we try to live with lie and corruption and fraud and [graft] and violence and exploitation and
G2-040,1960-2010-tree_nn-248476-16,1960-2010,tree_nn,most of the lawn be plant with grass and there be a few crooked old fruit [tree]
G2-041,1810-1860-tree_nn-214697-28,1810-1860,tree_nn,by the high ground on the west be most favorable for horticultural experiment and have therefore be plant with fruit [tree] and grape vine here hope have retire and be flatter herself she be secure from interruption
G2-042,1810-1860-tree_nn-178354-4,1810-1860,tree_nn,pompey pompey s family [tree] spring by cupid s trick
G2-043,1960-2010-tree_nn-101886-19,1960-2010,tree_nn,continue along the path to the back of the house past more palm and a stunning specimen palo brea [tree] cercidium praecox you enter a small grove of fruit tree plant not only to provide orange grapefruit lemon and lime
G2-044,1960-2010-tree_nn-347329-6,1960-2010,tree_nn,steph open it to the family [tree] page her left hand tremble
G2-045,1960-2010-tree_nn-117305-6,1960-2010,tree_nn,limb of one of the fruit [tree] and it be then i realize we be close to the orchard and i think to myself this be n't
G2-046,1810-1860-tree_nn-190011-12,1810-1860,tree_nn,in this way they all subsequently become fruit bearer without crowd the [tree] with a confuse mass of branch like those of a shear hedge
G2-047,1960-2010-graft_nn-9140-9,1960-2010,graft_nn,builder architect and union official who provide information on [graft] during a six week investigation by the new york time into corruption estimate to cost million a year also describe
G2-048,1810-1860-tree_nn-62854-40,1810-1860,tree_nn,sunbeam flash through the dark foliage while its leaf blend their soften tint above and we call it a graceful [tree] an ornament to the wood
