item_id,target,context,label,confidence,notes
G2-001,graft_nn,employee be describe by the investigation department as rare evidence in black and white of petty [graft] in municipal government,corruption,high,
G2-002,tree_nn,an accurate tb family [tree] might also help scientist figure out what be behind the extra virulence of certain nul tuberculosis strain,diagram,high,
G2-003,graft_nn,reject the developing embryo as a foreign body just as it would reject a thorn a virus or a tissue [graft] from another person,medical,high,
G2-004,tree_nn,it be after all rock shard and earth [tree] stump a mulch of disintegrating leaf and splintered branch and manure,plant,high,
G2-005,graft_nn,respect cuba s regime immediately pre castro the encyclopedia have this to say cuban politics before consist of [graft] corruption maladministration fiscal irresponsibility and social insensitivity especially toward afro cubans,corruption,high,
G2-006,graft_nn,but limb salvage techniques which involve skin and vascular [graft] placement of internal rod and muscle transfer procedures are not always successful they may take up to a dozen surgery,medical,high,
G2-007,tree_nn,their long continental nose at poor purebred negro like myself do n't give a tinker be damn about my family [tree] and welcome me as the world downstream would not,diagram,high,
G2-008,tree_nn,weingrass hold on to the trunk of the [tree] his fingernail bleed as he dig into the bark his long black overcoat billow in the wind,plant,high,
G2-009,graft_nn,this whole army be a mess of corruption cause by cotton [graft] cumsha and slipperoo straight,unclear,high,
G2-010,tree_nn,after that the squirrel feed almost exclusively on bark from only one species of [tree] the ponderosa pine,plant,high,
G2-011,graft_nn,approximately percent of organ [graft] transplant from a blood relative survive and function for at least a year and around percent of cadaver kidney do,medical,high,
G2-012,tree_nn,father the renowned banker and philanthropist have conic to this country in from frankfurt am main where the schiff family [tree] heavy with rabbinical scientific and mercantile luminary have be document back to nul i be surprise to learn after i,diagram,high,
G2-013,graft_nn,good as ever i think there be less [graft] in the police department these day but from the standpoint of a skilled professional burglar i think,corruption,high,
G2-014,graft_nn,he say they be part of a continue fight against [graft] and corruption,corruption,high,
G2-015,graft_nn,in the newspaper sometime later that he have be demote and transfer to a post where the opportunity to receive [graft] and bribe from client be slim indeed,corruption,high,
G2-016,tree_nn,view that nul afarensis be one species place it more firmly than ever at the root of the human family [tree],diagram,high,
G2-017,tree_nn,sow it not in an orchard near fruit [tree] for it will steal and rob nul,plant,high,
G2-018,tree_nn,on your family [tree] mark your early ancestor to demonstrate mythical property and tell his her story,diagram,high,
G2-019,tree_nn,among fancy wood the bread fruit [tree] should not be omit,other,low,
G2-020,graft_nn,misconception about this nation that gangster lurk on every hand make it dangerous to venture out after dark that political [graft] be rampant in every department of the government and that one must never discuss politics where there be any danger,corruption,high,
G2-021,graft_nn,of command from saigon to the province be so ponderous so complex so subject to political wheel and deal and [graft] that general and cabinet minister sometimes find it nearly impossible to get an effective response to order they do issue,corruption,high,
G2-022,graft_nn,how about elimination of largescale waste and indeed also of [graft] and corruption in city and state,corruption,high,
G2-023,tree_nn,brutal sound of bay dog and the more brutal profanity of drunken man when the leaf stand still on the [tree] and the forest lay pile up in the darkness like black cloud and the morning star be stand like a,plant,high,
G2-024,graft_nn,the leech hirudo medicinalis in jar can help skin [graft] and reattach tissue heal,medical,high,
G2-025,graft_nn,the commission to investigate alleged police corruption that as chief executive the mayor can not escape responsibility for the widespread [graft] find among new york s policeman by the panel,corruption,high,
G2-026,tree_nn,back home she tear out the lawn plant some [tree] and start scatter seed,plant,high,
G2-027,graft_nn,the politician be dormant they will do nothing to clean up the [graft] vice and corruption,corruption,high,
G2-028,graft_nn,per dollar basis the federal government now probably have less waste for example than during the jackson administration and less [graft] than during the grant administration,corruption,high,
G2-029,tree_nn,by now we have learn that these aunt be not graft onto the family [tree] in any respectable way,diagram,high,
G2-030,tree_nn,then to go to pescia to die beneath the beautiful sky of tuscany amid the flower the fruit and the [tree] which he have plant and with the recollection of the mother who have watch over and mature the promise of,plant,high,
G2-031,tree_nn,one do not fit her easily into the cardboard image of the russian woman but her family [tree] be mix and that may account for it,diagram,high,
G2-032,graft_nn,leukemia patient for example the clon cell could provide an infusion of fresh bone marrow and for the burn victim [graft] of brand new skin,medical,high,
G2-033,graft_nn,the diffusion of responsibility for the bribery typify most aspect of the building industry and it give the system of [graft] an add resilience,corruption,high,
G2-034,graft_nn,on her abdomen for a normal skin closure so after the operation she have to have five or six skin [graft],medical,high,
G2-035,tree_nn,during the day that the skin be soak ipa sit under the cottonwood [tree] weaving basket from supple willow branch and reed or nolina leaf,plant,high,
G2-036,tree_nn,oral tradition test bennett greenspan president of family [tree] dna estimate that hundreds of thousands of practice jew and people who have some jewish ancestor carry the cohanim dna,diagram,high,
G2-037,tree_nn,pdbony moutan or the [tree] peony and its variety be magnificent plant with flower of various shade of red lilac light purple and white measure,plant,high,
G2-038,graft_nn,far student could practice more exotic procedure often not available in a typical residency eye operation skin [graft] plastic facial surgery amputation of useless limb coronary surgery nul they could also practice the actual removal of organ whether,medical,high,
G2-039,graft_nn,paul we try to live with lie and corruption and fraud and [graft] and violence and exploitation and,corruption,high,
G2-040,tree_nn,most of the lawn be plant with grass and there be a few crooked old fruit [tree],plant,high,
G2-041,tree_nn,by the high ground on the west be most favorable for horticultural experiment and have therefore be plant with fruit [tree] and grape vine here hope have retire and be flatter herself she be secure from interruption,plant,high,
G2-042,tree_nn,pompey pompey s family [tree] spring by cupid s trick,diagram,high,
